,Unnamed: 0,prompt,completion
521,521,Customer: I would like to purchase some products, place order
522,522,Customer: how do I locate my bill from Ms. Hawkings?, check invoice
523,523,Customer: assistance to restore the password of my user profile, recover password
524,524,Customer: i expect a restituton of 1499 dollars, track refund
525,525,Customer: where can I see when will my item arrive?, delivery period
526,526,Customer: correct details on free account, edit account
527,527,Customer: I need to inform of sign-up problems, registration problems
528,528,Customer: how do i lodge a customer claim against ur business, complaint
529,529,Customer: could you help me check the termination charge?, check cancellation fee
530,530,Customer: information about the removal of my Pro account, delete account
531,531,"Customer: I want to see your money back policy, I need help", check refund policy
532,532,Customer: how can I retrieve the PIN of my account?, recover password
533,533,Customer: I try to see in which cases can I request my money back, check refund policy
534,534,Customer: help making a customer reclamation, complaint
535,535,Customer: open Freemium account for bride, create account
536,536,Customer: I am trying to file as claim against your business, complaint
537,537,Customer: I do not know how to see what shipping methods are there, delivery options
538,538,Customer: what do I have to do to cancel my freemium account?, delete account
539,539,Customer: I don't know how I can talk to somebody, contact human agent
540,540,Customer: i have to see how long reimbursements take, check refund policy
541,541,Customer: how can i cancel the subscription to the company newsleter, newsletter subscription
542,542,Customer: can you help me informing of a goddamn signup issue?, registration problems
543,543,Customer: can i order from Dublin, delivery options
544,544,Customer: where do I look for the bill from Mr. Jones?, check invoice
545,545,Customer: can you help me notify of a proboem with payment?, payment issue
546,546,Customer: wanna delete several items  from purchase 00123842 help me, change order
547,547,Customer: I need help to notify of errors with online payment, payment issue
548,548,Customer: help to  buy a few of ur item, place order
549,549,Customer: I want to check when my article is going to arrive, delivery period
550,550,Customer: I try to contact an operator, contact human agent
551,551,Customer: I try to reset the pwd of my user, recover password
552,552,Customer: assistance seeing how soon can I expect my bloody product, delivery period
553,553,Customer: i need an standard account can ucreate it, create account
554,554,Customer: where do I leave a goddamn comment?, review
555,555,Customer: can i place an order from USA, delivery options
556,556,Customer: i dont know what i need to do to order several damn products, place order
557,557,Customer: I would like to know about updating the delivery address, change shipping address
558,558,Customer: what do I have to do to cancel my standard account?, delete account
559,559,Customer: assistance to lodge a customer reclamation, complaint
560,560,Customer: i have a problem with canceling order 370795561790, cancel order
561,561,Customer: I have to cancel order 00004587345, cancel order
562,562,Customer: I do not know how to get the bill from Mr. Smith, get invoice
563,563,Customer: checking invoices from David Miller, check invoice
564,564,Customer: I am trying to recover my user account PIN, recover password
565,565,Customer: I don't know how to cancel purchase 370795561790, cancel order
566,566,Customer: support editing my shipping address, change shipping address
567,567,Customer: how to receive ur corporate newsltter, newsletter subscription
568,568,"Customer: I never use the Freemium account, help me delete it", delete account
569,569,Customer: where can I notify of an error with signup?, registration problems
570,570,Customer: i do not know what to do to speak with an assistant, contact human agent
571,571,Customer: i have an error setting upthe new delivery address, set up shipping address
572,572,Customer: help me to call customer support, contact customer service
573,573,Customer: receive the company newsletter, newsletter subscription
574,574,Customer: order cancellation, cancel order
575,575,Customer: need help to see the ETA of the order 00004587345, track order
576,576,Customer: i need help to list the payment options, check payment methods
577,577,Customer: changing data on Platinum account, edit account
578,578,Customer: removing something from order 732201349959, change order
579,579,Customer: i want help cancelling purchase 732201349959, cancel order
580,580,"Customer: I have submitted a wrong address, can you correct it?", change shipping address
581,581,Customer: do you delivr to Seattle?, delivery options
582,582,Customer: canceling Premium cacount, delete account
583,583,Customer: I do not know what I have to do to shop some articles, place order
584,584,Customer: assistance checking how long it takes for my order to arrive, delivery period
585,585,Customer: need assistance buying some of your product, place order
586,586,Customer: I don't know how I can recover my password, recover password
587,587,Customer: could I check my reimbursement status?, track refund
588,588,Customer: get bill from Mr. Jones, get invoice
589,589,Customer: i try to leave an opinion for ur company, review
590,590,Customer: need assistance to use the free account, switch account
591,591,Customer: have a qustion about a lost pwd, recover password
592,592,Customer: I try to sign up to your newsletter, newsletter subscription
593,593,Customer: where to file a complaint against your organization?, complaint
594,594,Customer: I have errors entering the new delivery address, set up shipping address
595,595,Customer: help me report issues with registrations, registration problems
596,596,Customer: help me to check the status of purchase 113542617735902, track order
597,597,Customer: I need to see in what cases can I request reimbursements, check refund policy
598,598,Customer: I get eror messages when I try to set up my delivery address, set up shipping address
599,599,Customer: acnceling order 00123842, cancel order
600,600,Customer: payment issue, payment issue
601,601,Customer: how do I check purchase 00123842 current status?, track order
602,602,Customer: where do i open a Platinum account, create account
603,603,Customer: I want assistance to see in what cases can I request refunds, check refund policy
604,604,Customer: i paid $1200 for this article i wana receive a rebate, get refund
605,605,Customer: i want help unsubscribing to ur company newsletter, newsletter subscription
606,606,Customer: wanna report a trouble with payment, payment issue
607,607,Customer: can i see what hours i can call customer service, contact customer service
608,608,Customer: i want support trying to update the address, change shipping address
609,609,Customer: how do I list the payment modalities?, check payment methods
610,610,"Customer: the experience with your brand was awful, lodge a complaint", complaint
611,611,Customer: I need help talking to customer assistance, contact customer service
612,612,Customer: getting invoices from eleven months ago, get invoice
613,613,Customer: do ya ship to Dublin, delivery options
614,614,Customer: I am waiting for a compensation of 299 dollars, track refund
615,615,"Customer: I have to earn some items, can I get some help?", place order
616,616,Customer: where can i see ur availabe payment modalities, check payment methods
617,617,Customer: reimbursing 1499 dollars, get refund
618,618,Customer: using pro account, switch account
619,619,Customer: i have got to locate order 113542617735902 could ya help mw, track order
620,620,Customer: edit platinum account, edit account
621,621,"Customer: I don't understand you, I would like to talk to somebody", contact human agent
622,622,Customer: i expect a reimbursementof 1200 dollars, track refund
623,623,Customer: I do not know what to do to see the allowed payment methods, check payment methods
624,624,Customer: could ya help me submitting feedback for a service, review
625,625,Customer: wanna check the early exit penalties, check cancellation fee
626,626,Customer: i need assistance solving a trouble with online payments, payment issue
627,627,Customer: I have to purchase an article, place order
628,628,Customer: where can i inform of an problem with registrations, registration problems
629,629,Customer: i dont know what to do ot edit the address, change shipping address
630,630,Customer: I am trying to demand a compensation, get refund
631,631,Customer: I do not know how I can cancel order 00123842, cancel order
632,632,Customer: give me information about editing my address, change shipping address
633,633,Customer: I have got to retrieve my user PIN code, recover password
634,634,"Customer: I don't understand you, I have got to talk with somebody", contact human agent
635,635,Customer: how can i recover my user pwd, recover password
636,636,Customer: switch to free account, switch account
637,637,Customer: I need to cancel the corporate newsletter subscription, newsletter subscription
638,638,"Customer: I need to enter a delivery address, help me", set up shipping address
639,639,Customer: I am trying to change to the free account, switch account
640,640,Customer: is it possible to place a order from Hungary?, delivery options
641,641,Customer: I'm trying to make a customer claim against ur company, complaint
642,642,Customer: I have to see how long it takes for the package to arrive, delivery period
643,643,Customer: can ya tell me at what time i can call customer service, contact customer service
644,644,Customer: do you deliver to Valencia?, delivery options
645,645,Customer: where could I check the payment options?, check payment methods
646,646,Customer: checking invoice #12588, check invoice
647,647,Customer: I can't find the bills from Mr. Smith, check invoice
648,648,Customer: i do not know what i have to do to contact a live agent, contact human agent
649,649,Customer: shipping address issue, set up shipping address
650,650,Customer: my  secondary delivery address isnt valid i need help, set up shipping address
651,651,Customer: mail me my invoice from Anna Freeman, get invoice
652,652,Customer: want assistance correcting my deloivery address, change shipping address
653,653,Customer: changing info on freemium  account, edit account
654,654,Customer: where can I see what damn shipment options you offer?, delivery options
655,655,Customer: I need help to retrieve the access key of my profile, recover password
656,656,Customer: remove item from order 00123842, change order
657,657,Customer: can you help me canceling my subscription to the newsletter?, newsletter subscription
658,658,Customer: use standard account, switch account
659,659,Customer: I want help to check what hours I can reach customer support, contact customer service
660,660,"Customer: I have to receive your company newsletter, I need assistance", newsletter subscription
661,661,Customer: delete Premium account, delete account
662,662,Customer: I expect a restitution of $350, track refund
663,663,Customer: I want to lisg your allowed payment options, check payment methods
664,664,Customer: I'd like to make a consumer reclamation, complaint
665,665,"Customer: I chose a wrong address, can you help me updating it?", change shipping address
666,666,Customer: i want help to lodge a customer reclamation, complaint
667,667,Customer: can you help me correcting my delivery address?, change shipping address
668,668,Customer: is it possible to inform of an issue with a registration?, registration problems
669,669,Customer: i cant rceate a Premium account for my fiancee, create account
670,670,Customer: can you help me to get my bill #85632?, get invoice
671,671,Customer: i dont know what i have to do to buy some of ur product, place order
672,672,Customer: were could I change to the premium account?, switch account
673,673,Customer: i dont know how to restore the password of myprofile, recover password
674,674,Customer: i need assistance downloading my invoice from Anna Freeman, get invoice
675,675,Customer: canceling order, cancel order
676,676,Customer: i need assistance to check the withdrawal  fee, check cancellation fee
677,677,"Customer: I would like to check the delivery options, I need help", delivery options
678,678,Customer: I'm waiting for a compesation of 350 dollars, track refund
679,679,Customer: is there a method to submit feedback for your products?, review
680,680,Customer: help me opening a Gold account for my daughter, create account
681,681,Customer: I don't know how to edit the delivery address, change shipping address
682,682,Customer: what do I need to do to talk with customer assistance?, contact customer service
683,683,Customer: i have got to contact a human agent, contact human agent
684,684,Customer: I am waiting for a restitution of 1499 dollars, track refund
685,685,Customer: change data on gold account, edit account
686,686,Customer: i want assistance canceling order 370795561790, cancel order
687,687,Customer: help filing a reclamation against your business, complaint
688,688,Customer: I don't know how to enter a different delivery address, set up shipping address
689,689,Customer: refunding 299 dollars, get refund
690,690,Customer: help me order several fucking items, place order
691,691,Customer: need help getting my invoice #85632, get invoice
692,692,Customer: I need assistance canceling purchase 732201349959, cancel order
693,693,Customer: i do not knowwhat i need to do to buy some products, place order
694,694,Customer: help changing to the premium account, switch account
695,695,Customer: I want help checking how long reimbursements take, check refund policy
696,696,Customer: I want to get the bills from Anna Freeman, get invoice
697,697,Customer: create Platinum account, create account
698,698,Customer: I want to check how long it takes for the parcel to arrive, delivery period
699,699,Customer: i need assistance to report troubles with payments, payment issue
700,700,Customer: check your money back policy, check refund policy
701,701,Customer: reimbursing 160 dollars, get refund
702,702,"Customer: my experience with your brand was bad, file a damn complaint", complaint
703,703,"Customer: I would like to recover my fucking password, how do I do it?", recover password
704,704,Customer: I'm trying to check the available payment methods, check payment methods
705,705,Customer: how can i ceck the fucking early exit fees, check cancellation fee
706,706,Customer: need to check what hours i can reach custmoer service, contact customer service
707,707,"Customer: I need to check what shipment options I have, how to do it?", delivery options
708,708,Customer: where do I change to the Pro account?, switch account
709,709,Customer: I want assistance seeing what shipping methods I can choose, delivery options
710,710,Customer: status of order 00123842, track order
711,711,Customer: can ya helpme to check the payment modalities, check payment methods
712,712,Customer: how do i send feedback about aproduct, review
713,713,Customer: I expect a refund of $1200, track refund
714,714,Customer: need assistance speaking to a live agent, contact human agent
715,715,Customer: can you help me downloading the invoices from David Miller?, get invoice
716,716,Customer: update order 113542617735902, change order
717,717,Customer: how do I talk to damn customer service?, contact customer service
718,718,Customer: where to make a customer reclamation against your company?, complaint
719,719,Customer: want assistance to solve errors with online payment, payment issue
720,720,Customer: is it possible to see what shipment options I have?, delivery options
721,721,Customer: I have got to see what hours I can contact customer service, contact customer service
722,722,Customer: what do I need to do to download the invoice #00108?, get invoice
723,723,Customer: how to enter a new delivery address, set up shipping address
724,724,Customer: want assistance downloading the invoice #85632, get invoice
725,725,Customer: where to acquire several of ur item, place order
726,726,Customer: how can I check what shipment methods you offer?, delivery options
727,727,Customer: can ya help me get my bill #37777, get invoice
728,728,Customer: help me to see how soon can I expect my product, delivery period
729,729,Customer: I need to see how soon can I expect my item, delivery period
730,730,Customer: assistance clsoing a pro account, delete account
731,731,Customer: i dont knos how to notify of issues with a registration, registration problems
732,732,Customer: open a standard account, create account
733,733,Customer: where do i give a quick look at the invoices frlm Mr. Smith, check invoice
734,734,Customer: I don't know what I have to do to purchase some damn items, place order
735,735,Customer: i have got to close my bloody free account i need help, delete account
736,736,Customer: where do I demand fucking compensations of my money?, get refund
737,737,"Customer: I expect a rebate of $160, has it been processed already?", track refund
738,738,Customer: wanna leave a bloody opinion about ur servics, review
739,739,Customer: purchase 00123842 status, track order
740,740,Customer: lodge consumerclaim, complaint
741,741,Customer: need help to takl with damn customer support, contact customer service
742,742,Customer: help me unsubscribing from the corporate newsletter, newsletter subscription
743,743,Customer: help checking the early termination fees, check cancellation fee
744,744,Customer: wanna filr a complaint against ur company, complaint
745,745,"Customer: I no longer use my gold account, how can I close it?", delete account
746,746,Customer: I have to inform of a problem with sign-up, registration problems
747,747,Customer: I have a question about the removal of my freemium account, delete account
748,748,Customer: I want assistance changing the address, change shipping address
749,749,Customer: what do i have to do to ask for a compensation of money, get refund
750,750,Customer: what do i have to do to enter another shipping address, set up shipping address
751,751,Customer: i paid $299 for this product  how to receive a reimbursement, get refund
752,752,Customer: where could I see the cancellation charges?, check cancellation fee
753,753,Customer: I need assistance submitting a secondary shipping address, set up shipping address
754,754,Customer: I want assistance informing of troubles with online payment, payment issue
755,755,Customer: want assistance seeing the ETA of the order 732201349959, track order
756,756,Customer: I don't know how I could check when will my purchase arrive, delivery period
757,757,Customer: switch to standard account, switch account
758,758,Customer: i want help talking with an operator, contact human agent
759,759,Customer: help seeing ur available payment methods, check payment methods
760,760,Customer: I want help to request reimbursements of my money, get refund
761,761,Customer: i do not know how i can locate invoice #85632, check invoice
762,762,Customer: checking ETA of order 370795561790, track order
763,763,Customer: i donmt know how i can notify of an error with sign-up, registration problems
764,764,Customer: open Platinum acount, create account
765,765,Customer: could you help me set a fucking delivery address up?, set up shipping address
766,766,Customer: need assistance to cancel order 732201349959, cancel order
767,767,Customer: how could ireport signup problems, registration problems
768,768,Customer: help me purchase several items, place order
769,769,"Customer: I have to receive the newsletter, can you help me?", newsletter subscription
770,770,Customer: I need help checking your available payment methods, check payment methods
771,771,Customer: can you help me to see what shipment options I have?, delivery options
772,772,Customer: where can i make a complaint against ur organization, complaint
773,773,Customer: checking invoice from David Miller, check invoice
774,774,Customer: reporting trouble with online payment, payment issue
775,775,Customer: switching to another account, switch account
776,776,Customer: want help checking how soon can I expect my item, delivery period
777,777,Customer: I do not know what I need to do to close my standard account, delete account
778,778,Customer: where to send my feedback for ur services, review
779,779,Customer: chat wth somebody, contact human agent
780,780,Customer: correcting data on pro acxcount, edit account
781,781,Customer: i want assistance to inform of an issue with payment, payment issue
782,782,"Customer: my experience with your service was bad, file a claim", complaint
783,783,Customer: can ya helpme talk to customer service, contact customer service
784,784,Customer: I want help to check the withdrawal penalties, check cancellation fee
785,785,Customer: acquire an article, place order
786,786,Customer: where can i report a registration error, registration problems
787,787,"Customer: I have to see when will my purchase arrive, help me", delivery period
788,788,Customer: could you help me to leave a comment about a product?, review
789,789,Customer: I want help resetting my user account key, recover password
790,790,Customer: how do I cancel a standard account?, delete account
791,791,"Customer: you are not helpful, I want to speak to a human agent", contact human agent
792,792,Customer: can uhelp me to see the early exit fee, check cancellation fee
793,793,Customer: I want help receiving a rebate of money, get refund
794,794,Customer: help me check the damn early termination fees, check cancellation fee
795,795,Customer: i need help to get the invoices from David Miller, get invoice
796,796,Customer: shipping to Valencia, delivery options
797,797,Customer: I want assistance sending some feedback for your services, review
798,798,Customer: I try to see in which cases can I ask for refunds, check refund policy
799,799,Customer: I can't reset the access key of my user profile, recover password
800,800,Customer: I cannot switch to the Gold account, switch account
801,801,Customer: can you help me to notify of a fucking problem with payment?, payment issue
802,802,Customer: want assistance to cancel order 370795561790, cancel order
803,803,Customer: I can't switch several products of order 00123842, change order
804,804,"Customer: I can't open a user, inform of registration errors", registration problems
805,805,Customer: updating data on standard account, edit account
806,806,Customer: can you show me the withdrawal  penalty?, check cancellation fee
807,807,Customer: i do not know how to remove the freemium account, delete account
808,808,Customer: help me to change to the Premium account, switch account
809,809,Customer: open a free account, create account
810,810,Customer: where to cancel purchase 00004587345?, cancel order
811,811,Customer: changing to gold account, switch account
812,812,"Customer: I want to see the payment methods, help me", check payment methods
813,813,Customer: want help to submit feedback about ur company, review
814,814,Customer: i hsve to use the Platinum profile how do i do it, switch account
815,815,Customer: I don't know how I can change to the Premium account, switch account
816,816,Customer: i dont know how i can modufy my delivery address, change shipping address
817,817,Customer: need assistance calling customer support, contact customer service
818,818,Customer: can I update my address?, change shipping address
819,819,Customer: I need help shopping a damn article, place order
820,820,Customer: wherer can i get information about a premium account removal, delete account
821,821,Customer: I do not know how I can write an opinion about your products, review
822,822,Customer: i want infolrmation about opening free accounts, create account
823,823,Customer: editing details on standard account, edit account
824,824,Customer: help me ordering a few of your article, place order
825,825,Customer: is there an e-mail to leave a review for a product ?, review
826,826,Customer: i need help checking in which cases can i ask for refunds, check refund policy
827,827,Customer: cancelling purchase 732201349959, cancel order
828,828,Customer: will you show me in what situations can I ask for refunds?, check refund policy
829,829,Customer: i dont know what to do to notify of payment issues, payment issue
830,830,Customer: I'm trying to open an standard account for my daughter, create account
831,831,Customer: can I check how long it takes for my damn parcel to arrive?, delivery period
832,832,Customer: I try to see the status of order 00004587345, track order
833,833,Customer: change to free account, switch account
834,834,Customer: i dont know what i need to do to make a customer complaint, complaint
835,835,Customer: I'm trying to inform of a payment error, payment issue
836,836,Customer: modifying premium account, edit account
837,837,"Customer: I don't have a bloody gold account , how could I open one?", create account
838,838,Customer: wanna check ur refun policy can uhelp me, check refund policy
839,839,Customer: question about canceling purchase 00004587345, cancel order
840,840,Customer: can you show  me how long refunds usually take?, check refund policy
841,841,Customer: i do not know what to do to close my Platinum account, delete account
842,842,Customer: add something to order 00123842, change order
843,843,Customer: assistance updating purchase 00123842, change order
844,844,Customer: I'd like  to list the allowed payment methods how do i do it, check payment methods
845,845,Customer: i dont know what i have to do to create a Gold account, create account
846,846,Customer: shipping to Liverpool, delivery options
847,847,Customer: hw can i cancel purchase 113542617735902, cancel order
848,848,Customer: I try to see the ETA of order 00123842, track order
849,849,Customer: I have got to speak with a human agent, contact human agent
850,850,Customer: I need assistance notifying of a trouble with payments, payment issue
851,851,Customer: i expect a rebate of $350, track refund
852,852,Customer: I have got to see the early exit fees, check cancellation fee
853,853,Customer: can you tell me more about opening Premium accounts?, create account
854,854,Customer: getting invoices from last purchase, get invoice
855,855,Customer: need help to check how soon can i expect my product, delivery period
856,856,Customer: I need help to see in what cases can I ask for refunds, check refund policy
857,857,Customer: I want information about the cancellation of my free account, delete account
858,858,Customer: I don't know how I could check your reimbursement policy, check refund policy
859,859,Customer: could uhelp me to create an Platinum account for my wife, create account
860,860,Customer: I want help reporting a sign-up error, registration problems
861,861,Customer: create standard account for bride, create account
862,862,"Customer: I am waiting for a refund of $299, has it been processed?", track refund
863,863,Customer: reporting issues creating user, registration problems
864,864,"Customer: I no longer want my Premium account, how to reove it?", delete account
865,865,Customer: i do not know what i need to do to purchase some of ur item, place order
866,866,Customer: can I see in what situations can I request redimbursements?, check refund policy
867,867,Customer: need to remove some items from order 370795561790, change order
868,868,"Customer: I paid 350 dollars for this order, I need my compensation", get refund
869,869,Customer: show me the bills from Mr. Smith, check invoice
870,870,Customer: getting refund of money, get refund
871,871,Customer: show me under which circumstances can I request refunds, check refund policy
872,872,Customer: i have to check thee damn payment modalities i need help, check payment methods
873,873,Customer: i need help to correct the delivery address, change shipping address
874,874,Customer: I am waiting for a compensation of $350, track refund
875,875,Customer: i call to get the bill from Mr. Jones, get invoice
876,876,Customer: how do i write a comment for ur services, review
877,877,Customer: I want help reporting an isue with payment, payment issue
878,878,Customer: help me to check at what time I can reach customer support, contact customer service
879,879,Customer: editing details on pro account, edit account
880,880,Customer: problems with platinum account terminations, delete account
881,881,Customer: deleting pro account, delete account
882,882,Customer: can i submit another shipping address, set up shipping address
883,883,Customer: get bills from David Miller, get invoice
884,884,Customer: I do not know how I can get the bill from Anna Freeman, get invoice
885,885,Customer: I call to download the invoices from Anna Freeman, get invoice
886,886,Customer: where do i check what hours customer assistance available is, contact customer service
887,887,Customer: how do i download my fucking bils from Ms. Hawkings, get invoice
888,888,Customer: where do I open a platinum account for my fiancee?, create account
889,889,Customer: I need assistance submitting another shipping address, set up shipping address
890,890,Customer: I want information about my company newsletter subscription, newsletter subscription
891,891,Customer: updating information on platinum account, edit account
892,892,Customer: I'm waiting for a refund of 299 dollars, track refund
893,893,Customer: want assistance seeing ur money back guarantee, check refund policy
894,894,Customer: I want to inform of sign-up issues, registration problems
895,895,Customer: wanna find the inovice #00108 i need help, check invoice
896,896,Customer: i have got to update my address, change shipping address
897,897,Customer: what do I have to do to cancel the newsletter subscription?, newsletter subscription
898,898,"Customer: I have to see the withdrawal penalty, how can I do it?", check cancellation fee
899,899,Customer: I don't know how I can give a quick look at bill #12588, check invoice
900,900,Customer: ik want assistance seeing the withdrawal fee, check cancellation fee
901,901,Customer: help seeing at what time customer support available is, contact customer service
902,902,Customer: is it possible to place an order from Dublin, delivery options
903,903,Customer: want help to use  the Premium account, switch account
904,904,Customer: i expect a reimbursement of $1499, track refund
905,905,"Customer: I cannot pay, I have to inform of payment issues", payment issue
906,906,"Customer: I would like to file a complaint, how to do it?", complaint
907,907,Customer: there is a trouble entering a delivery address, set up shipping address
908,908,Customer: I want assistance to cancel the free account, delete account
909,909,Customer: show me the early exit charge, check cancellation fee
910,910,Customer: i dont want the last damn purchase i made can i cancel it, cancel order
911,911,Customer: can ya help me to send my feedback for ur services, review
912,912,"Customer: I cannot create a profile, can I report sign-up errors?", registration problems
913,913,Customer: can you show me in what cases can I request reimbursements?, check refund policy
914,914,Customer: I have issues trying to edit my delivery address, change shipping address
915,915,Customer: I am trying to cancel my damn subscription to the newsletter, newsletter subscription
916,916,Customer: assistance sending bloody feedback about ur company, review
917,917,Customer: check invoice from Ms. Hawkings, check invoice
918,918,Customer: where can I report a trouble with payments?, payment issue
919,919,"Customer: I need to enter another shipping address, how could I do it?", set up shipping address
920,920,Customer: issue with payments, payment issue
921,921,Customer: i do nolt know how to open a Platinum account for my wife, create account
922,922,Customer: help to get my invoices from David Miller, get invoice
923,923,Customer: I do not know how I can correct the delivery address, change shipping address
924,924,Customer: i dont know what i need to do to see the early exit charges, check cancellation fee
925,925,Customer: can you help me see your accepted payment methods?, check payment methods
926,926,Customer: I have a question about my PIN code reset, recover password
927,927,Customer: I do not know how to inform of problems with a registration, registration problems
928,928,Customer: need help to see the et of order 732201349959, track order
929,929,Customer: I need to correct the goddamn shipping address, change shipping address
930,930,Customer: i do not know what i need to do to speak to a person, contact human agent
931,931,Customer: checking status of order 732201349959, track order
932,932,Customer: I need help to notify of a trouble with online payment, payment issue
933,933,Customer: problem with Gold account cancellations, delete account
934,934,Customer: help to use the platinum profile, switch account
935,935,Customer: how can I check the available payment options?, check payment methods
936,936,Customer: need help speaking with somebody, contact human agent
937,937,Customer: want help ti earn some of ur product, place order
938,938,Customer: checking invoice from Mr. Jones, check invoice
939,939,Customer: want assistance making a customer reclamation, complaint
940,940,Customer: I have got to speak with somebody, contact human agent
941,941,Customer: what do i need to do to notify of a signup issue, registration problems
942,942,Customer: i need help speaking with customer service, contact customer service
943,943,Customer: updating details on pro account, edit account
944,944,Customer: I cannot check your money back guarantee, check refund policy
945,945,Customer: I don't know how I can sign up to the newsletter, newsletter subscription
946,946,Customer: customersupport e-mail, contact customer service
947,947,Customer: I want help setting up a different delivery address, set up shipping address
948,948,Customer: could you help me contact an agent?, contact human agent
949,949,Customer: refund $160, get refund
950,950,Customer: need to speak to an operator, contact human agent
951,951,Customer: I need help seeing how long reimbursements take, check refund policy
952,952,Customer: I am trying to add several products to order 00004587345, change order
953,953,Customer: I am trying to recover the PIN of my user profile, recover password
954,954,Customer: can ya help me shopping several products, place order
955,955,Customer: get invoices from David Miller, get invoice
956,956,Customer: i need help to cancel order 370795561790, cancel order
957,957,Customer: check status of refund, track refund
958,958,Customer: opening new free account, create account
959,959,Customer: I have a problem with creating a Platinum account, create account
960,960,Customer: getting money back, get refund
961,961,Customer: rebating 350 dollars, get refund
962,962,Customer: I need help to see what shipment methods are available, delivery options
963,963,Customer: help me to make a consumer claim against your organization, complaint
964,964,Customer: close gold account, delete account
965,965,Customer: rebate 350 dollars, get refund
966,966,Customer: refund 350 dollars, get refund
967,967,"Customer: I have to check the early exit penalties, can you help me?", check cancellation fee
968,968,Customer: I do not know how I can see when my order is going to arrive, delivery period
969,969,Customer: assistance to see purchase 370795561790 status, track order
970,970,Customer: I'm waiting for a compesation of 299 dollars, track refund
971,971,Customer: can i add some articles to order 00004587345, change order
972,972,Customer: I'm trying to contact a human agent, contact human agent
973,973,Customer: I do not know how to see the status of my reimbursement, track refund
974,974,Customer: i do not know how i can switch to the free cacount, switch account
975,975,Customer: i need hep talking to a person, contact human agent
976,976,"Customer: I would like to track the bloody refund, help me", track refund
977,977,Customer: I want assistance to get my bill #12588, get invoice
978,978,Customer: is it possible to place an order from Hungary?, delivery options
979,979,Customer: need assistance to enter the shipping address, set up shipping address
980,980,Customer: how to request a refund?, get refund
981,981,Customer: i dont know how to see ur payment methods, check payment methods
982,982,Customer: I need help to receive your fucking corporate newsletter, newsletter subscription
983,983,Customer: I don't know how to notify of problpems with payment, payment issue
984,984,Customer: help to use the free prfoile, switch account
985,985,Customer: reporting issues with payments, payment issue
986,986,Customer: help me making a consumer complaint, complaint
987,987,Customer: i needassistance with adding an item to order 732201349959, change order
988,988,Customer: can you help me submitting a delivery address?, set up shipping address
989,989,Customer: change to Freemium account, switch account
990,990,Customer: can I use the Platinum profile?, switch account
991,991,Customer: uhave a free of charge customer service phone number, contact customer service
992,992,Customer: I do not know how to submit the delivery address, set up shipping address
993,993,Customer: i need help talking to a live agent, contact human agent
994,994,Customer: help me make a reclamation against your business, complaint
995,995,Customer: how can I request a restitution of my money ?, get refund
996,996,Customer: assistance making a consumer claim against your organization, complaint
997,997,Customer: need assistance seeing ur money back policy, check refund policy
998,998,Customer: I try to notify of an issue with a signup, registration problems
999,999,Customer: i do not know how to file a consumer reclamation, complaint
1000,1000,Customer: I do not know what to do to download my bills from Mr. Smith, get invoice
1001,1001,"Customer: I want to do a fucking purchase, can you help me?", place order
1002,1002,Customer: there is an error setting the shipping address up, set up shipping address
1003,1003,Customer: help me resoring my profile pwd, recover password
1004,1004,"Customer: you aren't being helpful, I want help talking with someone", contact human agent
1005,1005,Customer: i have a problem with cancelling purchase  00004587345, cancel order
1006,1006,Customer: i try to earn a fvew of ur product, place order
1007,1007,Customer: new bloody standard account, create account
1008,1008,Customer: want help sending some feedback about a service, review
1009,1009,Customer: help me to cancel order 113542617735902, cancel order
1010,1010,Customer: need help takling with customer service, contact customer service
1011,1011,Customer: editing information on premium account, edit account
1012,1012,Customer: help ot check the withdrawal penalties, check cancellation fee
1013,1013,Customer: cirrect information on standard account, edit account
1014,1014,Customer: hel me to check what hours I can contact customer support, contact customer service
1015,1015,Customer: i exoect a damn restitution of 299 dollars, track refund
1016,1016,Customer: i try toi report errors with payments, payment issue
1017,1017,Customer: I need help checking what payment options are accepted, check payment methods
1018,1018,Customer: I have got to check the options for shipment, delivery options
1019,1019,Customer: I am waiting for a compensation of 1200 dollars, track refund
1020,1020,Customer: how do I change to the Freemium account?, switch account
1021,1021,Customer: where can I check what hours I can contact customer support?, contact customer service
1022,1022,Customer: i have to check at what time i can reach customer support, contact customer service
1023,1023,Customer: i want assistance talking to a live agent, contact human agent
1024,1024,Customer: I want tocheck at what time customer service available is, contact customer service
1025,1025,Customer: I am waiting for a reimbursement of 350 dollars, track refund
1026,1026,Customer: leaving review for your company, review
1027,1027,Customer: want assistance swapping a article of order 00004587345, change order
1028,1028,Customer: i need azssistance to look for the invoice #85632, check invoice
1029,1029,Customer: I have to check the early termination pealties, check cancellation fee
1030,1030,Customer: I'm waiting for a reimbursement fo 1200 dollars, track refund
1031,1031,Customer: have a question about a lost padsword, recover password
1032,1032,Customer: how could I see your allowed payment modalities?, check payment methods
1033,1033,Customer: i cannot sign up where to notify of goddamn signup problems, registration problems
1034,1034,Customer: i do not want the freemium account i need help to cancel it, delete account
1035,1035,Customer: need supports trying to modify my address, change shipping address
1036,1036,Customer: how to remove an item from order 370795561790, change order
1037,1037,"Customer: I can't register, how can I inform of sign-up errors?", registration problems
1038,1038,Customer: i want help talking with customer service, contact customer service
1039,1039,Customer: I need to see the delivery methods, delivery options
