,prompt,completion
305,"Please categorise the customer intent from the conversation below: 

###

Customer: need to see in what situations can i ask for reimbhursements
The intention is as follows:", check refund policy END
306,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance with editing order 113542617735902
The intention is as follows:", change order END
307,"Please categorise the customer intent from the conversation below: 

###

Customer: how can I add something to purchase 00004587345?
The intention is as follows:", change order END
308,"Please categorise the customer intent from the conversation below: 

###

Customer: can uhelp me seeing the ETA of the order 113542617735902
The intention is as follows:", track order END
309,"Please categorise the customer intent from the conversation below: 

###

Customer: change detalis on Pro account
The intention is as follows:", edit account END
310,"Please categorise the customer intent from the conversation below: 

###

Customer: help checking at what time i can reach customer service
The intention is as follows:", contact customer service END
311,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to edit my  address
The intention is as follows:", change shipping address END
312,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help checking the early termination fees
The intention is as follows:", check cancellation fee END
313,"Please categorise the customer intent from the conversation below: 

###

Customer: would you give me information about a PIN code reset?
The intention is as follows:", recover password END
314,"Please categorise the customer intent from the conversation below: 

###

Customer: update data on free account
The intention is as follows:", edit account END
315,"Please categorise the customer intent from the conversation below: 

###

Customer: i cannot pay want assistance to report a payment issuew
The intention is as follows:", payment issue END
316,"Please categorise the customer intent from the conversation below: 

###

Customer: want help tracking order 113542617735902
The intention is as follows:", track order END
317,"Please categorise the customer intent from the conversation below: 

###

Customer: need help to check the early termination fee
The intention is as follows:", check cancellation fee END
318,"Please categorise the customer intent from the conversation below: 

###

Customer: I want assistance to speak with someone
The intention is as follows:", contact human agent END
319,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont know what i have to do to lodge a consumer claim
The intention is as follows:", complaint END
320,"Please categorise the customer intent from the conversation below: 

###

Customer: how can I see your reimbursement policy?
The intention is as follows:", check refund policy END
321,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to change my delivery address
The intention is as follows:", change shipping address END
322,"Please categorise the customer intent from the conversation below: 

###

Customer: I xepect a compensation of $1499
The intention is as follows:", track refund END
323,"Please categorise the customer intent from the conversation below: 

###

Customer: where can i get information about editing the address
The intention is as follows:", change shipping address END
324,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna change some articles of order 732201349959 help me
The intention is as follows:", change order END
325,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not know what i have to do to download bill #85632
The intention is as follows:", get invoice END
326,"Please categorise the customer intent from the conversation below: 

###

Customer: i need assistance notifying of a registration problem
The intention is as follows:", registration problems END
327,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to lodge a consumer claim
The intention is as follows:", complaint END
328,"Please categorise the customer intent from the conversation below: 

###

Customer: i aint registered yet i need to open a Platinum account
The intention is as follows:", create account END
329,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance recovering my account PIN
The intention is as follows:", recover password END
330,"Please categorise the customer intent from the conversation below: 

###

Customer: how can i check the early termination penalties
The intention is as follows:", check cancellation fee END
331,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know how I can acquire an item
The intention is as follows:", place order END
332,"Please categorise the customer intent from the conversation below: 

###

Customer: getting invoice from David Miller
The intention is as follows:", get invoice END
333,"Please categorise the customer intent from the conversation below: 

###

Customer: acn i order from Hungary
The intention is as follows:", delivery options END
334,"Please categorise the customer intent from the conversation below: 

###

Customer: where do I change to the Gold account?
The intention is as follows:", switch account END
335,"Please categorise the customer intent from the conversation below: 

###

Customer: where do I download my invoices from Ms. Hawkings?
The intention is as follows:", get invoice END
336,"Please categorise the customer intent from the conversation below: 

###

Customer: create platinum account
The intention is as follows:", create account END
337,"Please categorise the customer intent from the conversation below: 

###

Customer: I need a damn Platinum account, could I open it?
The intention is as follows:", create account END
338,"Please categorise the customer intent from the conversation below: 

###

Customer: I want supports trying to change my delivbery address
The intention is as follows:", change shipping address END
339,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not know how i can submit my feedback for ur company
The intention is as follows:", review END
340,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to remove a product from order 732201349959?
The intention is as follows:", change order END
341,"Please categorise the customer intent from the conversation below: 

###

Customer: I have got to see how long reimbursements take, help me
The intention is as follows:", check refund policy END
342,"Please categorise the customer intent from the conversation below: 

###

Customer: i have got to check when my product is gonna arrive
The intention is as follows:", delivery period END
343,"Please categorise the customer intent from the conversation below: 

###

Customer: change order 370795561790
The intention is as follows:", change order END
344,"Please categorise the customer intent from the conversation below: 

###

Customer: information about my PIN code recovery
The intention is as follows:", recover password END
345,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont know what i have to do to download my invoice #85632
The intention is as follows:", get invoice END
346,"Please categorise the customer intent from the conversation below: 

###

Customer: where do i demand rebates of money
The intention is as follows:", get refund END
347,"Please categorise the customer intent from the conversation below: 

###

Customer: want help submitting a new delivery address
The intention is as follows:", set up shipping address END
348,"Please categorise the customer intent from the conversation below: 

###

Customer: i  have to get my invoice #85632 can i get some help
The intention is as follows:", get invoice END
349,"Please categorise the customer intent from the conversation below: 

###

Customer: I want assisance to inform of a problem with payment
The intention is as follows:", payment issue END
350,"Please categorise the customer intent from the conversation below: 

###

Customer: i expect a restitution of 1499 dollars
The intention is as follows:", track refund END
351,"Please categorise the customer intent from the conversation below: 

###

Customer: issues changing shipping address
The intention is as follows:", change shipping address END
352,"Please categorise the customer intent from the conversation below: 

###

Customer: I have got to shop some items, I need help
The intention is as follows:", place order END
353,"Please categorise the customer intent from the conversation below: 

###

Customer: I am waiting for a reimbursement of $1499
The intention is as follows:", track refund END
354,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont understand ui wanna contact a live agent
The intention is as follows:", contact human agent END
355,"Please categorise the customer intent from the conversation below: 

###

Customer: I'm waiting for a compensation of $350
The intention is as follows:", track refund END
356,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help to solve an error with online payments
The intention is as follows:", payment issue END
357,"Please categorise the customer intent from the conversation below: 

###

Customer: what do I have to do to deleet a premium account?
The intention is as follows:", delete account END
358,"Please categorise the customer intent from the conversation below: 

###

Customer: what do I need to do to cancel purchase 370795561790?
The intention is as follows:", cancel order END
359,"Please categorise the customer intent from the conversation below: 

###

Customer: where can I get information about a delivery address change?
The intention is as follows:", change shipping address END
360,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to check the  cancellation fee
The intention is as follows:", check cancellation fee END
361,"Please categorise the customer intent from the conversation below: 

###

Customer: need assistance to recover the PIN of my profile
The intention is as follows:", recover password END
362,"Please categorise the customer intent from the conversation below: 

###

Customer: where to submit my feedback for your company?
The intention is as follows:", review END
363,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what to do to purchase several items
The intention is as follows:", place order END
364,"Please categorise the customer intent from the conversation below: 

###

Customer: I forgot the PIN of my user account, help recovering it
The intention is as follows:", recover password END
365,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how to modify the delivery address
The intention is as follows:", change shipping address END
366,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to see the cancellation penalties, I need help
The intention is as follows:", check cancellation fee END
367,"Please categorise the customer intent from the conversation below: 

###

Customer: i need help modifyingg purchase 00123842
The intention is as follows:", change order END
368,"Please categorise the customer intent from the conversation below: 

###

Customer: where do I check the payment methods?
The intention is as follows:", check payment methods END
369,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me to see the termination charge?
The intention is as follows:", check cancellation fee END
370,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not want this item, where to cancel order 370795561790?
The intention is as follows:", cancel order END
371,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not know how to obtain refunds of my money
The intention is as follows:", get refund END
372,"Please categorise the customer intent from the conversation below: 

###

Customer: is there a way to leave some feedback for your services?
The intention is as follows:", review END
373,"Please categorise the customer intent from the conversation below: 

###

Customer: I'm looking for information about updating the address
The intention is as follows:", change shipping address END
374,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know what to do to locate my invoice from Mr. Jones
The intention is as follows:", check invoice END
375,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know how to leave some feedback about your company
The intention is as follows:", review END
376,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help asking for a reimbursement of money
The intention is as follows:", get refund END
377,"Please categorise the customer intent from the conversation below: 

###

Customer: i want help requesting a refund of money
The intention is as follows:", get refund END
378,"Please categorise the customer intent from the conversation below: 

###

Customer: i cannot delete a product from purchase 00123842
The intention is as follows:", change order END
379,"Please categorise the customer intent from the conversation below: 

###

Customer: why I cannot set the secondary shipping address valid up
The intention is as follows:", set up shipping address END
380,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can see my bill #00108
The intention is as follows:", check invoice END
381,"Please categorise the customer intent from the conversation below: 

###

Customer: could i order from Detroit
The intention is as follows:", delivery options END
382,"Please categorise the customer intent from the conversation below: 

###

Customer: need assistance to leave an opinion about ur company
The intention is as follows:", review END
383,"Please categorise the customer intent from the conversation below: 

###

Customer: i need assistance seeing ur fucking money back guarantee
The intention is as follows:", check refund policy END
384,"Please categorise the customer intent from the conversation below: 

###

Customer: i need assiustance to check my bill #00108
The intention is as follows:", check invoice END
385,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to send feedback for an product
The intention is as follows:", review END
386,"Please categorise the customer intent from the conversation below: 

###

Customer: help me check in what situations can I ask to be refunded
The intention is as follows:", check refund policy END
387,"Please categorise the customer intent from the conversation below: 

###

Customer: could you help me to speak to somebody?
The intention is as follows:", contact human agent END
388,"Please categorise the customer intent from the conversation below: 

###

Customer: edit information on freemium account
The intention is as follows:", edit account END
389,"Please categorise the customer intent from the conversation below: 

###

Customer: how to add an article to purchase 732201349959
The intention is as follows:", change order END
390,"Please categorise the customer intent from the conversation below: 

###

Customer: want help informing of an issue with registrations
The intention is as follows:", registration problems END
391,"Please categorise the customer intent from the conversation below: 

###

Customer: have problems with opening a newbloody pro account
The intention is as follows:", create account END
392,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to check what payment methods are available, help me
The intention is as follows:", check payment methods END
393,"Please categorise the customer intent from the conversation below: 

###

Customer: I need assistance to correct the shipping address
The intention is as follows:", change shipping address END
394,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know how to reset the key of my user
The intention is as follows:", recover password END
395,"Please categorise the customer intent from the conversation below: 

###

Customer: help me tol subscribe to your company newsletter
The intention is as follows:", newsletter subscription END
396,"Please categorise the customer intent from the conversation below: 

###

Customer: can uhelp me obtaining compensations
The intention is as follows:", get refund END
397,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me to look for invoice #00108?
The intention is as follows:", check invoice END
398,"Please categorise the customer intent from the conversation below: 

###

Customer: shipping to Japan
The intention is as follows:", delivery options END
399,"Please categorise the customer intent from the conversation below: 

###

Customer: there are troubles submitting the new shipping address
The intention is as follows:", set up shipping address END
400,"Please categorise the customer intent from the conversation below: 

###

Customer: can utell me about a delivery adfress change
The intention is as follows:", change shipping address END
401,"Please categorise the customer intent from the conversation below: 

###

Customer: i want assistance giving a quick look at the bull #85632
The intention is as follows:", check invoice END
402,"Please categorise the customer intent from the conversation below: 

###

Customer: help to see in which cases can I ask for a reimbursement
The intention is as follows:", check refund policy END
403,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna know about signing up to ur newsletter
The intention is as follows:", newsletter subscription END
404,"Please categorise the customer intent from the conversation below: 

###

Customer: order 00004587345 status
The intention is as follows:", track order END
405,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know how I can inform of an error with a sign-up
The intention is as follows:", registration problems END
406,"Please categorise the customer intent from the conversation below: 

###

Customer: i need help to see what hours i can reach customer support
The intention is as follows:", contact customer service END
407,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna order several items help me
The intention is as follows:", place order END
408,"Please categorise the customer intent from the conversation below: 

###

Customer: need help to leave a review about a product
The intention is as follows:", review END
409,"Please categorise the customer intent from the conversation below: 

###

Customer: help me make a complaint against your organization
The intention is as follows:", complaint END
410,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to see when will my purchase arrive, I need help
The intention is as follows:", delivery period END
411,"Please categorise the customer intent from the conversation below: 

###

Customer: want help to write an opinion for a service
The intention is as follows:", review END
412,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to delete a goddamn item from order 732201349959
The intention is as follows:", change order END
413,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance trying to modify the shipping address
The intention is as follows:", change shipping address END
414,"Please categorise the customer intent from the conversation below: 

###

Customer: get bill from David Miller
The intention is as follows:", get invoice END
415,"Please categorise the customer intent from the conversation below: 

###

Customer: i cannot set up a secondary shipping address
The intention is as follows:", set up shipping address END
416,"Please categorise the customer intent from the conversation below: 

###

Customer: can ya help me to submit some feedback about ur company
The intention is as follows:", review END
417,"Please categorise the customer intent from the conversation below: 

###

Customer: help me looking for the bill from Anna Freeman
The intention is as follows:", check invoice END
418,"Please categorise the customer intent from the conversation below: 

###

Customer: deliveries to Dublin
The intention is as follows:", delivery options END
419,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to send feedback for ur services
The intention is as follows:", review END
420,"Please categorise the customer intent from the conversation below: 

###

Customer: I'm trying to check when my shipment is gonna arrive
The intention is as follows:", delivery period END
421,"Please categorise the customer intent from the conversation below: 

###

Customer: need to check the early exit fees
The intention is as follows:", check cancellation fee END
422,"Please categorise the customer intent from the conversation below: 

###

Customer: file customer complaint agaisnt your business
The intention is as follows:", complaint END
423,"Please categorise the customer intent from the conversation below: 

###

Customer: editing information on standard account
The intention is as follows:", edit account END
424,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can download the bills from Anna Freeman
The intention is as follows:", get invoice END
425,"Please categorise the customer intent from the conversation below: 

###

Customer: where to check the bills from Mr. Jones?
The intention is as follows:", check invoice END
426,"Please categorise the customer intent from the conversation below: 

###

Customer: I need help notifying of a trouble with online payment
The intention is as follows:", payment issue END
427,"Please categorise the customer intent from the conversation below: 

###

Customer: help me check the current status of order 370795561790
The intention is as follows:", track order END
428,"Please categorise the customer intent from the conversation below: 

###

Customer: opening new gold account
The intention is as follows:", create account END
429,"Please categorise the customer intent from the conversation below: 

###

Customer: help to check your money back policy
The intention is as follows:", check refund policy END
430,"Please categorise the customer intent from the conversation below: 

###

Customer: need to add somehting to purchase 00004587345
The intention is as follows:", change order END
431,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to subscribe to the corporate newsletter?
The intention is as follows:", newsletter subscription END
432,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to see the invoice #00108, help me
The intention is as follows:", check invoice END
433,"Please categorise the customer intent from the conversation below: 

###

Customer: i cannot modify the delivery address
The intention is as follows:", change shipping address END
434,"Please categorise the customer intent from the conversation below: 

###

Customer: solve an issue with online payment
The intention is as follows:", payment issue END
435,"Please categorise the customer intent from the conversation below: 

###

Customer: refunding$299
The intention is as follows:", get refund END
436,"Please categorise the customer intent from the conversation below: 

###

Customer: can i check at what time i can call customer assistance
The intention is as follows:", contact customer service END
437,"Please categorise the customer intent from the conversation below: 

###

Customer: I have got to use the pro profile
The intention is as follows:", switch account END
438,"Please categorise the customer intent from the conversation below: 

###

Customer: open a Gold acount for my fiancee
The intention is as follows:", create account END
439,"Please categorise the customer intent from the conversation below: 

###

Customer: I want help adding an article to order 00004587345
The intention is as follows:", change order END
440,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to unsubscribe to ur company newsletter
The intention is as follows:", newsletter subscription END
441,"Please categorise the customer intent from the conversation below: 

###

Customer: modifying Gold account
The intention is as follows:", edit account END
442,"Please categorise the customer intent from the conversation below: 

###

Customer: i do not know what i have to do to speak with a assistant
The intention is as follows:", contact human agent END
443,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to order from Finland?
The intention is as follows:", delivery options END
444,"Please categorise the customer intent from the conversation below: 

###

Customer: I can't recover the PIN of my account
The intention is as follows:", recover password END
445,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to shop some of your product
The intention is as follows:", place order END
446,"Please categorise the customer intent from the conversation below: 

###

Customer: update premium account
The intention is as follows:", edit account END
447,"Please categorise the customer intent from the conversation below: 

###

Customer: I need to check the ETA of the purchase 113542617735902
The intention is as follows:", track order END
448,"Please categorise the customer intent from the conversation below: 

###

Customer: want help to ad some items to order 370795561790
The intention is as follows:", change order END
449,"Please categorise the customer intent from the conversation below: 

###

Customer: where can I enter my secondary shipping address?
The intention is as follows:", set up shipping address END
450,"Please categorise the customer intent from the conversation below: 

###

Customer: I have got to see the cancellation penalty
The intention is as follows:", check cancellation fee END
451,"Please categorise the customer intent from the conversation below: 

###

Customer: i cannot chat with someone
The intention is as follows:", contact human agent END
452,"Please categorise the customer intent from the conversation below: 

###

Customer: close Platinum account
The intention is as follows:", delete account END
453,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to correct purchase 732201349959, how do I do it?
The intention is as follows:", change order END
454,"Please categorise the customer intent from the conversation below: 

###

Customer: edit data on standard account
The intention is as follows:", edit account END
455,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont know how i can leave a comment for ur products
The intention is as follows:", review END
456,"Please categorise the customer intent from the conversation below: 

###

Customer: find information about receiving ur newsletter
The intention is as follows:", newsletter subscription END
457,"Please categorise the customer intent from the conversation below: 

###

Customer: help solving errors with online payment
The intention is as follows:", payment issue END
458,"Please categorise the customer intent from the conversation below: 

###

Customer: i cannot submit the secondary delivery address
The intention is as follows:", set up shipping address END
459,"Please categorise the customer intent from the conversation below: 

###

Customer: could you help me to close the damn free account?
The intention is as follows:", delete account END
460,"Please categorise the customer intent from the conversation below: 

###

Customer: making coaim
The intention is as follows:", complaint END
461,"Please categorise the customer intent from the conversation below: 

###

Customer: help me changing the delivery address
The intention is as follows:", change shipping address END
462,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to see how soon can I expect the order
The intention is as follows:", delivery period END
463,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to speak with customer support, how can I do it?
The intention is as follows:", contact customer service END
464,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not have a fucking Freemium account, could I register?
The intention is as follows:", create account END
465,"Please categorise the customer intent from the conversation below: 

###

Customer: i want assistance to switch to the free account
The intention is as follows:", switch account END
466,"Please categorise the customer intent from the conversation below: 

###

Customer: the experience with uwas awful how do i file a bloody claim
The intention is as follows:", complaint END
467,"Please categorise the customer intent from the conversation below: 

###

Customer: editingPlatinum account
The intention is as follows:", edit account END
468,"Please categorise the customer intent from the conversation below: 

###

Customer: I need to notify of a fucking issue with payments, help me
The intention is as follows:", payment issue END
469,"Please categorise the customer intent from the conversation below: 

###

Customer: i need help to reset the pin of my user account
The intention is as follows:", recover password END
470,"Please categorise the customer intent from the conversation below: 

###

Customer: help to use the Gold profile
The intention is as follows:", switch account END
471,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what to do to order a few of your article
The intention is as follows:", place order END
472,"Please categorise the customer intent from the conversation below: 

###

Customer: can ya help me demandkng a damn rebate
The intention is as follows:", get refund END
473,"Please categorise the customer intent from the conversation below: 

###

Customer: reporting payment issue
The intention is as follows:", payment issue END
474,"Please categorise the customer intent from the conversation below: 

###

Customer: I have errors modifying my delivery address
The intention is as follows:", change shipping address END
475,"Please categorise the customer intent from the conversation below: 

###

Customer: need assistance to create a Gold account for my daughter
The intention is as follows:", create account END
476,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know what I have to do to download my invoice #00108
The intention is as follows:", get invoice END
477,"Please categorise the customer intent from the conversation below: 

###

Customer: report payment issue
The intention is as follows:", payment issue END
478,"Please categorise the customer intent from the conversation below: 

###

Customer: edit data on gold account
The intention is as follows:", edit account END
479,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to demand a compensation
The intention is as follows:", get refund END
480,"Please categorise the customer intent from the conversation below: 

###

Customer: switching to premium account
The intention is as follows:", switch account END
481,"Please categorise the customer intent from the conversation below: 

###

Customer: modify details on free  account
The intention is as follows:", edit account END
482,"Please categorise the customer intent from the conversation below: 

###

Customer: how to use the freemium profile
The intention is as follows:", switch account END
483,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know what I need to do to change to the pro account
The intention is as follows:", switch account END
484,"Please categorise the customer intent from the conversation below: 

###

Customer: I want assistance to cancel order 113542617735902
The intention is as follows:", cancel order END
485,"Please categorise the customer intent from the conversation below: 

###

Customer: could I lodge a consumer claim?
The intention is as follows:", complaint END
486,"Please categorise the customer intent from the conversation below: 

###

Customer: change purchase 113542617735902
The intention is as follows:", change order END
487,"Please categorise the customer intent from the conversation below: 

###

Customer: i have got tro check ur accepted payment methods i need help
The intention is as follows:", check payment methods END
488,"Please categorise the customer intent from the conversation below: 

###

Customer: I have paid $160 for an article, I am trying to get a refund
The intention is as follows:", get refund END
489,"Please categorise the customer intent from the conversation below: 

###

Customer: help me canceling purchase 00123842
The intention is as follows:", cancel order END
490,"Please categorise the customer intent from the conversation below: 

###

Customer: I expect a reimbursement of $1200
The intention is as follows:", track refund END
491,"Please categorise the customer intent from the conversation below: 

###

Customer: how could I check the shipment methods?
The intention is as follows:", delivery options END
492,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to check at what time I can call customer support
The intention is as follows:", contact customer service END
493,"Please categorise the customer intent from the conversation below: 

###

Customer: i dont knowhow to see the bill #00108
The intention is as follows:", check invoice END
494,"Please categorise the customer intent from the conversation below: 

###

Customer: help me canceling purchase 113542617735902
The intention is as follows:", cancel order END
495,"Please categorise the customer intent from the conversation below: 

###

Customer: I'm trying to enter an different delivery address
The intention is as follows:", set up shipping address END
496,"Please categorise the customer intent from the conversation below: 

###

Customer: I want assistance seeing the fucking bills from Mr. Smith
The intention is as follows:", check invoice END
497,"Please categorise the customer intent from the conversation below: 

###

Customer: have preoblems with my forgotten pin code
The intention is as follows:", recover password END
498,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I could order a few of your product
The intention is as follows:", place order END
499,"Please categorise the customer intent from the conversation below: 

###

Customer: i need assistance creating a freemium account
The intention is as follows:", create account END
500,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know what to do to change to the Pro account
The intention is as follows:", switch account END
501,"Please categorise the customer intent from the conversation below: 

###

Customer: there are problems entering a secondary delivery address
The intention is as follows:", set up shipping address END
502,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know what to do to restore my profile access key
The intention is as follows:", recover password END
503,"Please categorise the customer intent from the conversation below: 

###

Customer: i want assistance canceloing purchase 370795561790
The intention is as follows:", cancel order END
504,"Please categorise the customer intent from the conversation below: 

###

Customer: do you ship to Detroit?
The intention is as follows:", delivery options END
505,"Please categorise the customer intent from the conversation below: 

###

Customer: I need to check how long the shipment takes
The intention is as follows:", delivery period END
506,"Please categorise the customer intent from the conversation below: 

###

Customer: I need help to speak with customer service
The intention is as follows:", contact customer service END
507,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna check how long refunds take heelp me
The intention is as follows:", check refund policy END
508,"Please categorise the customer intent from the conversation below: 

###

Customer: I have to check your accepted payment methods, help me
The intention is as follows:", check payment methods END
509,"Please categorise the customer intent from the conversation below: 

###

Customer: I call to get the bill #37777
The intention is as follows:", get invoice END
510,"Please categorise the customer intent from the conversation below: 

###

Customer: i need help signing up to ur corporate newsletter
The intention is as follows:", newsletter subscription END
511,"Please categorise the customer intent from the conversation below: 

###

Customer: want help to list the payment modalities
The intention is as follows:", check payment methods END
512,"Please categorise the customer intent from the conversation below: 

###

Customer: updating data on Pro account
The intention is as follows:", edit account END
513,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I could locate the bill #85632
The intention is as follows:", check invoice END
514,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to create a standard account
The intention is as follows:", create account END
515,"Please categorise the customer intent from the conversation below: 

###

Customer: edit data on Freemium account
The intention is as follows:", edit account END
516,"Please categorise the customer intent from the conversation below: 

###

Customer: is it possible to subscribe to ur company newsletter
The intention is as follows:", newsletter subscription END
517,"Please categorise the customer intent from the conversation below: 

###

Customer: add item to order 00004587345
The intention is as follows:", change order END
518,"Please categorise the customer intent from the conversation below: 

###

Customer: shipments to Philadelphia
The intention is as follows:", delivery options END
519,"Please categorise the customer intent from the conversation below: 

###

Customer: help using the free profile
The intention is as follows:", switch account END
520,"Please categorise the customer intent from the conversation below: 

###

Customer: i need help with creating a Premium account
The intention is as follows:", create account END
521,"Please categorise the customer intent from the conversation below: 

###

Customer: I would like to purchase some products
The intention is as follows:", place order END
522,"Please categorise the customer intent from the conversation below: 

###

Customer: how do I locate my bill from Ms. Hawkings?
The intention is as follows:", check invoice END
523,"Please categorise the customer intent from the conversation below: 

###

Customer: assistance to restore the password of my user profile
The intention is as follows:", recover password END
524,"Please categorise the customer intent from the conversation below: 

###

Customer: i expect a restituton of 1499 dollars
The intention is as follows:", track refund END
525,"Please categorise the customer intent from the conversation below: 

###

Customer: where can I see when will my item arrive?
The intention is as follows:", delivery period END
526,"Please categorise the customer intent from the conversation below: 

###

Customer: correct details on free account
The intention is as follows:", edit account END
527,"Please categorise the customer intent from the conversation below: 

###

Customer: I need to inform of sign-up problems
The intention is as follows:", registration problems END
528,"Please categorise the customer intent from the conversation below: 

###

Customer: how do i lodge a customer claim against ur business
The intention is as follows:", complaint END
529,"Please categorise the customer intent from the conversation below: 

###

Customer: could you help me check the termination charge?
The intention is as follows:", check cancellation fee END
530,"Please categorise the customer intent from the conversation below: 

###

Customer: information about the removal of my Pro account
The intention is as follows:", delete account END
531,"Please categorise the customer intent from the conversation below: 

###

Customer: I want to see your money back policy, I need help
The intention is as follows:", check refund policy END
532,"Please categorise the customer intent from the conversation below: 

###

Customer: how can I retrieve the PIN of my account?
The intention is as follows:", recover password END
533,"Please categorise the customer intent from the conversation below: 

###

Customer: I try to see in which cases can I request my money back
The intention is as follows:", check refund policy END
534,"Please categorise the customer intent from the conversation below: 

###

Customer: help making a customer reclamation
The intention is as follows:", complaint END
535,"Please categorise the customer intent from the conversation below: 

###

Customer: open Freemium account for bride
The intention is as follows:", create account END
536,"Please categorise the customer intent from the conversation below: 

###

Customer: I am trying to file as claim against your business
The intention is as follows:", complaint END
537,"Please categorise the customer intent from the conversation below: 

###

Customer: I do not know how to see what shipping methods are there
The intention is as follows:", delivery options END
538,"Please categorise the customer intent from the conversation below: 

###

Customer: what do I have to do to cancel my freemium account?
The intention is as follows:", delete account END
539,"Please categorise the customer intent from the conversation below: 

###

Customer: I don't know how I can talk to somebody
The intention is as follows:", contact human agent END
540,"Please categorise the customer intent from the conversation below: 

###

Customer: i have to see how long reimbursements take
The intention is as follows:", check refund policy END
541,"Please categorise the customer intent from the conversation below: 

###

Customer: how can i cancel the subscription to the company newsleter
The intention is as follows:", newsletter subscription END
542,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me informing of a goddamn signup issue?
The intention is as follows:", registration problems END
543,"Please categorise the customer intent from the conversation below: 

###

Customer: can i order from Dublin
The intention is as follows:", delivery options END
544,"Please categorise the customer intent from the conversation below: 

###

Customer: where do I look for the bill from Mr. Jones?
The intention is as follows:", check invoice END
545,"Please categorise the customer intent from the conversation below: 

###

Customer: can you help me notify of a proboem with payment?
The intention is as follows:", payment issue END
546,"Please categorise the customer intent from the conversation below: 

###

Customer: wanna delete several items  from purchase 00123842 help me
The intention is as follows:", change order END
547,"Please categorise the customer intent from the conversation below: 

###

Customer: I need help to notify of errors with online payment
The intention is as follows:", payment issue END
